id,company_name,website,face_value,book_value,roce_percentage,roe_percentage
ABB,Abbott India Ltd,https://www.abbott.co.in/,10.0,1657.0,46.0,34.9
ADANIENSOL,Adani Energy Solutions Ltd,https://www.adanienergysolutions.com/,10.0,175.0,9.0,8.59
ADANIENT,Adani Enterprises Ltd,https://www.adanienterprises.com/,1.0,363.0,11.6,13.64
ADANIGREEN,Adani Green Energy Ltd,http://www.adanigreenenergy.com/,10.0,67.0,96.5,14.7
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,http://www.adaniports.com/,2.0,265.0,12.9,18.1
ADANIPOWER,Adani Power Ltd,http://www.adani.com/,10.0,145.0,32.2,57.1
AMBUJACEM,Ambuja Cements Ltd,https://www.ambujacement.com/,2.0,205.0,12.8,9.24
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",https://www.apollohospitals.com/,5.0,522.0,17.2,13.81
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",https://www.asianpaints.com/,1.0,188.0,41.75,31.45
ATGL,Adani Total Gas Ltd,http://www.adanigas.com/,1.0,36.0,21.2,20.5
AXISBANK,Axis Bank Ltd,http://www.axisbank.com/,2.0,509.0,7.06,18.4
BAJAJ-AUTO,Bajaj Auto Ltd,https://www.bajajauto.com/,10.0,1109.0,33.5,26.5
BAJAJFINSV,Bajaj Finserv Ltd,https://www.bajajfinserv.in/,1.0,428.0,21.14,11.72
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,https://www.bhil.in/,10.0,5375.0,13.1,14.8
BAJFINANCE,Bajaj Finance Ltd,https://www.bajajfinserv.in/,2.0,1402.0,11.9,22.1
BANKBARODA,Bank of Baroda,http://www.bankofbaroda.co.in/,2.0,231.0,6.33,16.7
BEL,Bharat Electronics Ltd,http://www.bel-india.in/,1.0,24.0,34.6,26.3
BHARTIARTL,Bharti Airtel Ltd,http://www.airtel.in/,5.0,153.0,13.1,14.9
BHEL,Bharat Heavy Electricals Limited,https://www.bhel.com/,2.0,70.0,3.28,1.05
BOSCHLTD,Bosch Ltd,https://www.bosch.in/,10.0,4319.0,20.6,16.0
