company,operating_cf,investing_cf,free_cash_flow,capex_intensity,fcf_conversion
ABB,6038.0,-4943.0,1095.0,81.86,18.14
ADANIENSOL,6038.0,-4943.0,1095.0,81.86,18.14
ADANIENT,10312.0,-18767.0,-8455.0,181.99,-81.99
ADANIGREEN,7713.0,-21060.0,-13347.0,273.05,-173.05
ADANIPORTS,15018.0,-6768.0,8250.0,45.07,54.93
ADANIPOWER,14170.0,3481.0,17651.0,24.57,124.57
AGTL,955.0,-752.0,203.0,78.74,21.26
AMBUJACEM,5646.0,-8941.0,-3295.0,158.36,-58.36
APOLLOHOSP,1920.0,-1537.0,383.0,80.05,19.95
ASIANPAINT,6104.0,-2548.0,3556.0,41.74,58.26
AXISBANK,-5555.0,-9001.0,-14556.0,-162.03,262.03
BAJAJ-AUTO,6558.0,-72.0,6486.0,1.1,98.9
BAJAJFINSV,-68674.0,-10960.0,-79634.0,-15.96,115.96
BAJAJHLDNG,1941.0,-472.0,1469.0,24.32,75.68
BAJFINANCE,-72760.0,-7171.0,-79931.0,-9.86,109.86
BANKBARODA,-6274.0,-1285.0,-7559.0,-20.48,120.48
BEL,4659.0,-5924.0,-1265.0,127.15,-27.15
BHARTIARTL,78898.0,-51089.0,27809.0,64.75,35.25
BHEL,-3713.0,1331.0,-2382.0,-35.85,64.15
BOSCHLTD,1253.0,283.0,1536.0,22.59,122.59
BPCL,35936.0,-10521.0,25415.0,29.28,70.72
BRITANNIA,2573.0,477.0,3050.0,18.54,118.54
CANBK,15046.0,-1750.0,13296.0,11.63,88.37
CHOLAFIN,-35683.0,-2855.0,-38538.0,-8.0,108.0
CIPLA,4134.0,-2982.0,1152.0,72.13,27.87
COALINDIA,18103.0,-4486.0,13617.0,24.78,75.22
DABUR,2013.0,-971.0,1042.0,48.24,51.76
DIVISLAB,1261.0,-269.0,992.0,21.33,78.67
DLF,2539.0,-1529.0,1010.0,60.22,39.78
DMART,2746.0,-2468.0,278.0,89.88,10.12
DRREDDY,4543.0,-4034.0,509.0,88.8,11.2
EICHERMOT,3724.0,-2834.0,890.0,76.1,23.9
GAIL,12586.0,-8226.0,4360.0,65.36,34.64
GODREJCP,2070.0,-3435.0,-1365.0,165.94,-65.94
GRASIM,-10719.0,-23114.0,-33833.0,-215.64,315.64
