company_id,year,sales,return_on_equity_pct,debt_to_equity,free_cash_flow_cr,revenue_cagr_5yr,pat_cagr_5yr,operating_profit_margin_pct,interest_coverage,asset_turnover,dividend_payout_ratio_pct,composite_quality_score,broad_sector,sub_sector
JIOFIN,Mar 2024,1855,1.153456416595399,0.0,763.0,0,0,84.04312668463612,198.8,0.0128052021565202,0.0,0,Financials,Diversified Financials
SBILIFE,Mar 2024,131988,12.704588140595655,0.0,-2099.0,0,0,0.186380580052732,240.33333333333331,0.3313791900054983,14.0,0,Financials,Life Insurance
LICI,Mar 2024,845966,49.44710986501021,0.0,853.0,0,0,3.87474201090824,371.9375,0.1591344094587576,15.0,0,Financials,Life Insurance
DIVISLAB,Mar 2024,7845,11.78984599513669,0.0002210596124088,992.0,0,0,28.17080943275972,636.25,0.5074385510996119,50.0,0,Healthcare,Pharmaceuticals
BAJAJHLDNG,Mar 2024,1702,13.576787656460263,0.0011613545449517,1469.0,0,0,91.7743830787309,3764.5,0.0261199183560718,20.0,0,Financials,Holding Companies
MARUTI,Mar 2024,141858,15.750385351954783,0.0013896025036199,4936.0,0,0,13.130031439890594,117.90721649484536,1.230295566502463,29.0,0,Consumer Discretionary,Automobiles
ICICIGI,Mar 2024,20487,15.7230643179025,0.0028676771814829,486.0,0,0,87.42129155073948,160.02678571428572,0.3236083907247109,28.0,0,Financials,General Insurance
BOSCHLTD,Mar 2024,16727,20.639920424403183,0.0032327586206896,1536.0,0,0,12.524660728164047,71.7843137254902,0.9638144626908672,44.0,0,Consumer Discretionary,Auto Ancillaries
ITC,Mar 2024,70866,27.851074395694365,0.0040667319849141,18742.0,0,0,37.0177518132814,362.9625,0.7723477995509732,84.0,0,Consumer Staples,Diversified FMCG
NAUKRI,Mar 2024,2536,1.9661621835965897,0.008129006675038,-150.0,0,0,28.036277602523658,28.97142857142857,0.0702707196098534,49.0,0,Communication Services,Internet & Platforms
AMBUJACEM,Mar 2024,33160,11.428984947896565,0.0168612504824392,-3295.0,0,0,19.30036188178528,28.264492753623188,0.5081135747230352,12.0,0,Materials,Cement
SIEMENS,Sep 2024,22240,17.698769290877124,0.0181676108614963,1168.0,0,0,13.9568345323741,67.15,0.8790861298865568,16.0,0,Industrials,Capital Goods
IRCTC,Mar 2024,4270,34.39628482972136,0.0185758513931888,667.0,0,0,34.33255269320843,82.73684210526316,0.7010343129207027,47.0,0,Consumer Discretionary,Travel & Tourism
