company_id,year,old_pattern,new_pattern
ABB,2014-03-01,Reinvestor,Unknown
ABB,2015-03-01,Unknown,Reinvestor
ABB,2015-03-01,Reinvestor,Growth Funded by Debt
ABB,2016-03-01,Growth Funded by Debt,Reinvestor
ABB,2018-03-01,Reinvestor,Mixed
ABB,2019-03-01,Mixed,Reinvestor
ABB,2019-03-01,Reinvestor,Mixed
ABB,2020-03-01,Mixed,Reinvestor
ABB,2020-03-01,Reinvestor,Mixed
ABB,2021-03-01,Mixed,Reinvestor
ABB,2023-03-01,Reinvestor,Mixed
ABB,2024-03-01,Mixed,Reinvestor
ADANIENSOL,2015-03-01,Unknown,Growth Funded by Debt
ADANIENSOL,2016-03-01,Growth Funded by Debt,Reinvestor
ADANIENSOL,2018-03-01,Reinvestor,Mixed
ADANIENSOL,2021-03-01,Mixed,Reinvestor
ADANIENSOL,2023-03-01,Reinvestor,Mixed
ADANIENSOL,2024-03-01,Mixed,Reinvestor
ADANIENT,2014-03-01,Mixed,Reinvestor
ADANIENT,2015-03-01,Reinvestor,Mixed
ADANIENT,2016-03-01,Mixed,Reinvestor
ADANIENT,2017-03-01,Reinvestor,Mixed
ADANIENT,2019-03-01,Mixed,Liquidating Assets
ADANIENT,2020-03-01,Liquidating Assets,Reinvestor
ADANIENT,2021-03-01,Reinvestor,Mixed
ADANIENT,2023-03-01,Mixed,Reinvestor
ADANIENT,2024-03-01,Reinvestor,Mixed
ADANIGREEN,2023-03-01,Mixed,Reinvestor
ADANIGREEN,2024-03-01,Reinvestor,Mixed
ADANIPORTS,2015-03-01,Mixed,Reinvestor
ADANIPORTS,2016-03-01,Reinvestor,Mixed
ADANIPORTS,2017-03-01,Mixed,Reinvestor
ADANIPORTS,2019-03-01,Reinvestor,Mixed
ADANIPORTS,2020-03-01,Mixed,Reinvestor
ADANIPORTS,2021-03-01,Reinvestor,Mixed
ADANIPORTS,2022-03-01,Mixed,Reinvestor
ADANIPOWER,2015-03-01,Mixed,Reinvestor
ADANIPOWER,2022-03-01,Reinvestor,Liquidating Assets
AGTL,2019-03-01,Mixed,Liquidating Assets
AGTL,2020-03-01,Liquidating Assets,Reinvestor
AGTL,2021-03-01,Reinvestor,Mixed
AGTL,2024-03-01,Mixed,Reinvestor
AMBUJACEM,2023-03-01,Reinvestor,Mixed
APOLLOHOSP,2014-03-01,Mixed,Reinvestor
APOLLOHOSP,2015-03-01,Reinvestor,Mixed
APOLLOHOSP,2018-03-01,Mixed,Reinvestor
AXISBANK,2015-03-01,Mixed,Growth Funded by Debt
AXISBANK,2016-03-01,Growth Funded by Debt,Distress Signal
AXISBANK,2017-03-01,Distress Signal,Reinvestor
AXISBANK,2018-03-01,Reinvestor,Growth Funded by Debt
AXISBANK,2019-03-01,Growth Funded by Debt,Mixed
AXISBANK,2024-03-01,Mixed,Growth Funded by Debt
BAJAJ-AUTO,2020-03-01,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2021-03-01,Liquidating Assets,Reinvestor
BAJAJ-AUTO,2022-03-01,Reinvestor,Liquidating Assets
BAJAJ-AUTO,2024-03-01,Liquidating Assets,Reinvestor
BAJAJFINSV,2016-03-01,Distress Signal,Growth Funded by Debt
BAJAJFINSV,2017-03-01,Growth Funded by Debt,Distress Signal
BAJAJFINSV,2018-03-01,Distress Signal,Growth Funded by Debt
BAJAJFINSV,2021-03-01,Growth Funded by Debt,Mixed
BAJAJFINSV,2022-03-01,Mixed,Distress Signal
BAJAJFINSV,2023-03-01,Distress Signal,Growth Funded by Debt
BAJAJHLDNG,2016-03-01,Reinvestor,Liquidating Assets
BAJAJHLDNG,2017-03-01,Liquidating Assets,Pre-Revenue
BAJAJHLDNG,2018-03-01,Pre-Revenue,Reinvestor
BAJFINANCE,2018-03-01,Growth Funded by Debt,Distress Signal
BAJFINANCE,2019-03-01,Distress Signal,Growth Funded by Debt
BAJFINANCE,2022-03-01,Growth Funded by Debt,Distress Signal
BAJFINANCE,2023-03-01,Distress Signal,Growth Funded by Debt
BANKBARODA,2014-03-01,Reinvestor,Mixed
BANKBARODA,2015-03-01,Mixed,Reinvestor
BANKBARODA,2016-03-01,Reinvestor,Pre-Revenue
BANKBARODA,2017-03-01,Pre-Revenue,Reinvestor
BANKBARODA,2018-03-01,Reinvestor,Growth Funded by Debt
BANKBARODA,2020-03-01,Growth Funded by Debt,Mixed
BANKBARODA,2021-03-01,Mixed,Pre-Revenue
BANKBARODA,2022-03-01,Pre-Revenue,Reinvestor
BANKBARODA,2023-03-01,Reinvestor,Pre-Revenue
BANKBARODA,2024-03-01,Pre-Revenue,Growth Funded by Debt
BEL,2015-03-01,Unknown,Reinvestor
BEL,2017-03-01,Reinvestor,Unknown
BEL,2018-03-01,Unknown,Pre-Revenue
BEL,2019-03-01,Pre-Revenue,Reinvestor
BEL,2023-03-01,Reinvestor,Liquidating Assets
BEL,2024-03-01,Liquidating Assets,Reinvestor
BHARTIARTL,2014-03-01,Reinvestor,Mixed
BHARTIARTL,2015-03-01,Mixed,Reinvestor
BHARTIARTL,2018-03-01,Reinvestor,Mixed
BHARTIARTL,2021-03-01,Mixed,Reinvestor
BHEL,2015-03-01,Mixed,Liquidating Assets
BHEL,2017-03-01,Liquidating Assets,Reinvestor
BHEL,2018-03-01,Reinvestor,Liquidating Assets
BHEL,2019-03-01,Liquidating Assets,Unknown
BHEL,2020-03-01,Unknown,Distress Signal
BHEL,2021-03-01,Distress Signal,Reinvestor
BHEL,2023-03-01,Reinvestor,Distress Signal
BOSCHLTD,2017-03-01,Reinvestor,Liquidating Assets
BOSCHLTD,2018-03-01,Liquidating Assets,Reinvestor
BOSCHLTD,2019-03-01,Reinvestor,Liquidating Assets
BOSCHLTD,2020-03-01,Liquidating Assets,Reinvestor
BOSCHLTD,2023-03-01,Reinvestor,Liquidating Assets
BPCL,2017-03-01,Reinvestor,Mixed
BPCL,2018-03-01,Mixed,Reinvestor
BPCL,2019-03-01,Reinvestor,Mixed
BPCL,2021-03-01,Mixed,Reinvestor
BRITANNIA,2014-03-01,Liquidating Assets,Reinvestor
BRITANNIA,2020-03-01,Reinvestor,Mixed
BRITANNIA,2021-03-01,Mixed,Liquidating Assets
BRITANNIA,2023-03-01,Liquidating Assets,Reinvestor
BRITANNIA,2024-03-01,Reinvestor,Liquidating Assets
CANBK,2017-03-01,Reinvestor,Mixed
CANBK,2018-03-01,Mixed,Growth Funded by Debt
CANBK,2019-03-01,Growth Funded by Debt,Reinvestor
CANBK,2020-03-01,Reinvestor,Growth Funded by Debt
CANBK,2021-03-01,Growth Funded by Debt,Mixed
CANBK,2023-03-01,Mixed,Growth Funded by Debt
CANBK,2024-03-01,Growth Funded by Debt,Reinvestor
CHOLAFIN,2014-03-01,Distress Signal,Growth Funded by Debt
CHOLAFIN,2022-03-01,Growth Funded by Debt,Distress Signal
CHOLAFIN,2023-03-01,Distress Signal,Growth Funded by Debt
CIPLA,2014-03-01,Mixed,Reinvestor
CIPLA,2015-03-01,Reinvestor,Mixed
CIPLA,2017-03-01,Mixed,Reinvestor
CIPLA,2020-03-01,Reinvestor,Liquidating Assets
CIPLA,2021-03-01,Liquidating Assets,Reinvestor
COALINDIA,2014-03-01,Reinvestor,Liquidating Assets
COALINDIA,2018-03-01,Liquidating Assets,Reinvestor
COALINDIA,2020-03-01,Reinvestor,Liquidating Assets
COALINDIA,2022-03-01,Liquidating Assets,Reinvestor
DABUR,2019-03-01,Reinvestor,Liquidating Assets
DABUR,2020-03-01,Liquidating Assets,Reinvestor
DIVISLAB,2017-03-01,Reinvestor,Mixed
DIVISLAB,2018-03-01,Mixed,Reinvestor
DIVISLAB,2021-03-01,Reinvestor,Liquidating Assets
DIVISLAB,2022-03-01,Liquidating Assets,Reinvestor
DLF,2016-03-01,Liquidating Assets,Reinvestor
DLF,2017-03-01,Reinvestor,Distress Signal
DLF,2018-03-01,Distress Signal,Reinvestor
DLF,2019-03-01,Reinvestor,Cash Accumulator
DLF,2020-03-01,Cash Accumulator,Liquidating Assets
DLF,2023-03-01,Liquidating Assets,Reinvestor
DLF,2024-03-01,Reinvestor,Mixed
DMART,2018-03-01,Mixed,Liquidating Assets
DMART,2019-03-01,Liquidating Assets,Mixed
DMART,2021-03-01,Mixed,Reinvestor
EICHERMOT,2017-03-01,Reinvestor,Mixed
EICHERMOT,2018-03-01,Mixed,Reinvestor
GAIL,2014-03-01,Mixed,Reinvestor
GAIL,2020-03-01,Reinvestor,Mixed
GAIL,2021-03-01,Mixed,Reinvestor
GAIL,2023-03-01,Reinvestor,Mixed
GAIL,2024-03-01,Mixed,Reinvestor
GODREJCP,2014-03-01,Mixed,Reinvestor
GODREJCP,2017-03-01,Reinvestor,Mixed
GODREJCP,2018-03-01,Mixed,Reinvestor
GODREJCP,2019-03-01,Reinvestor,Liquidating Assets
GODREJCP,2020-03-01,Liquidating Assets,Reinvestor
GODREJCP,2024-03-01,Reinvestor,Mixed
GRASIM,2014-03-01,Mixed,Reinvestor
GRASIM,2018-03-01,Reinvestor,Distress Signal
GRASIM,2019-03-01,Distress Signal,Growth Funded by Debt
GRASIM,2020-03-01,Growth Funded by Debt,Reinvestor
GRASIM,2023-03-01,Reinvestor,Growth Funded by Debt
HAL,2019-03-01,Unknown,Distress Signal
HAL,2020-03-01,Distress Signal,Mixed
HAL,2021-03-01,Mixed,Reinvestor
HAVELLS,2019-03-01,Reinvestor,Liquidating Assets
HAVELLS,2020-03-01,Liquidating Assets,Reinvestor
HAVELLS,2021-03-01,Reinvestor,Mixed
HAVELLS,2022-03-01,Mixed,Reinvestor
HAVELLS,2023-03-01,Reinvestor,Liquidating Assets
HAVELLS,2024-03-01,Liquidating Assets,Reinvestor
HCLTECH,2022-03-01,Reinvestor,Liquidating Assets
HCLTECH,2023-03-01,Liquidating Assets,Reinvestor
HDFCBANK,2014-03-01,Growth Funded by Debt,Mixed
HDFCBANK,2015-03-01,Mixed,Growth Funded by Debt
HDFCBANK,2017-03-01,Growth Funded by Debt,Reinvestor
HDFCBANK,2018-03-01,Reinvestor,Mixed
HDFCBANK,2019-03-01,Mixed,Growth Funded by Debt
