id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,broad_sector,sub_sector
1175,INDIGO,Mar 2015,9.36,1904.0,4939.39,0.1515,30.4709,228.2787,1444.0,940.0,42481.0,6.6,83.0,4,2384.0,Consumer Discretionary,Airlines
242,BEL,Mar 2023,16.84,23.0,3981.33,0.52,230.0526,123.1528,3907.0,2708.0,4.0,0.6818,44.0,39,1199.0,Industrials,Defence Electronics
238,BEL,Mar 2019,15.51,24.0,3851.02,0.9592,186.375,96.5397,618.0,896.0,3.0,0.4455,44.0,47,1514.0,Industrials,Defence Electronics
455,HAL,Mar 2024,25.0,32.0,3816.58,0.6181,270.8837,67.5133,1814.0,6412.0,114.0,3.98,31.0,123,8226.0,Industrials,Defence & Aerospace
240,BEL,Mar 2021,14.88,23.0,3559.32,0.8305,333.9,92.8224,2498.0,2595.0,3.0,0.5364,46.0,49,5093.0,Industrials,Defence Electronics
239,BEL,Mar 2020,14.07,21.0,3318.18,0.8,357.25,106.2951,1921.0,649.0,3.0,0.5,37.0,44,2570.0,Industrials,Defence Electronics
454,HAL,Mar 2023,21.58,25.0,3283.05,0.2655,130.3281,99.3653,3102.0,5734.0,87.0,3.54,32.0,47,8836.0,Industrials,Defence & Aerospace
452,HAL,Mar 2021,14.16,23.0,2249.31,0.0417,21.3521,123.0215,13934.0,1190.0,48.0,2.88,31.0,6,15124.0,Industrials,Defence & Aerospace
451,HAL,Mar 2020,13.25,23.0,2059.42,0.0145,14.7493,123.9595,203.0,1334.0,42.0,2.76,39.0,2,1537.0,Industrials,Defence & Aerospace
448,HAL,Mar 2017,14.57,18.0,1966.92,0.015,267.5,105.5882,2598.0,3021.0,36.0,2.66,31.0,2,-423.0,Industrials,Defence & Aerospace
1177,INDIGO,Mar 2017,8.93,2219.0,1692.86,0.5306,20.7529,75.5285,749.0,3033.0,46.0,0.3379,74.0,52,3782.0,Consumer Discretionary,Airlines
1176,INDIGO,Mar 2016,12.3,3164.0,1534.78,0.0618,25.235,82.3469,1779.0,1337.0,55.0,32.35,27.0,8,3116.0,Consumer Discretionary,Airlines
1184,INDIGO,Mar 2024,11.85,16331.0,892.57,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17,21183.0,Consumer Discretionary,Airlines
714,LT,Mar 2021,9.5,17.0,176.9,0.1093,2.6869,12.7012,17324.0,5750.0,82.0,40.5778,44.0,798,23074.0,Industrials,Engineering & Construction
526,HINDUNILVR,Mar 2013,14.22,4220.0,134.0,0.0087,20.3028,2.2332,3668.0,63.0,18.0,1.3264,104.0,25,3605.0,Consumer Staples,FMCG
788,NESTLEIND,Dec 2023,15.68,23.0,121.96,0.1102,38.5462,2.1301,2465.0,927.0,31.0,2.5615,56.0,271,3392.0,Consumer Staples,Food Products
789,NESTLEIND,Mar 2024,16.12,24.0,117.75,0.1033,41.1862,2.3182,2938.0,1237.0,41.0,3.4792,79.0,345,4175.0,Consumer Staples,Food Products
527,HINDUNILVR,Mar 2014,13.53,4759.0,111.85,0.013,30.923,2.1255,3343.0,475.0,18.0,1.6375,71.0,46,3818.0,Consumer Staples,FMCG
786,NESTLEIND,Dec 2021,14.37,24.0,108.84,0.1367,17.0792,1.7903,316.0,1920.0,22.0,2.0271,91.0,266,2236.0,Consumer Staples,Food Products
528,HINDUNILVR,Mar 2015,13.69,5412.0,108.67,0.0107,21.3128,2.2157,3430.0,138.0,20.0,1.8644,74.0,43,3292.0,Consumer Staples,FMCG
785,NESTLEIND,Dec 2020,15.6,24.0,103.12,0.0728,20.4146,1.6899,2133.0,321.0,22.0,2.1031,93.0,147,2454.0,Consumer Staples,Food Products
784,NESTLEIND,Dec 2019,15.91,24.0,102.61,0.0985,24.5969,1.7244,2378.0,83.0,20.0,1.9979,168.0,189,2295.0,Consumer Staples,Food Products
787,NESTLEIND,Dec 2022,14.15,22.0,97.23,0.1102,24.6,1.8818,2345.0,392.0,25.0,2.5615,89.0,271,2737.0,Consumer Staples,Food Products
533,HINDUNILVR,Mar 2020,16.98,9861.0,82.1,0.0,70.6297,1.974,9414.0,1791.0,31.0,3.8097,80.0,0,7623.0,Consumer Staples,FMCG
717,LT,Mar 2024,7.03,14.0,77.66999999999999,0.1035,3.5442,8.0276,20445.0,2179.0,95.0,66.7267,36.0,2071,18266.0,Industrials,Engineering & Construction
532,HINDUNILVR,Mar 2019,15.42,8880.0,77.03,0.0126,94.5745,2.1102,5362.0,438.0,28.0,3.6421,78.0,99,5800.0,Consumer Staples,FMCG
