Company,Broad Sector,Sub Sector,Index Weight %,Market Cap
ABB,Industrials,Capital Goods,0.81,Large Cap
ADANIENSOL,Energy,Power & Utilities,0.65,Large Cap
ADANIENT,Industrials,Conglomerates,1.5,Large Cap
ADANIGREEN,Energy,Renewable Energy,1.23,Large Cap
ADANIPORTS,Industrials,Infrastructure,2.12,Large Cap
ADANIPOWER,Energy,Power & Utilities,3.01,Large Cap
AMBUJACEM,Materials,Cement,2.82,Large Cap
APOLLOHOSP,Healthcare,Healthcare,0.62,Large Cap
ASIANPAINT,Materials,Paints & Coatings,1.13,Large Cap
ATGL,Energy,Gas Distribution,0.6,Large Cap
AXISBANK,Financials,Private Banks,2.97,Large Cap
BAJAJ-AUTO,Consumer Discretionary,Two Wheelers,3.9,Large Cap
BAJAJFINSV,Financials,Diversified Financials,2.12,Large Cap
BAJAJHLDNG,Financials,Holding Companies,3.36,Large Cap
BAJFINANCE,Financials,Consumer Finance,1.78,Large Cap
BANKBARODA,Financials,Public Sector Banks,1.27,Large Cap
BEL,Industrials,Defence Electronics,3.65,Large Cap
BHARTIARTL,Communication Services,Telecommunications,1.13,Large Cap
BHEL,Industrials,Capital Goods,1.24,Large Cap
BOSCHLTD,Consumer Discretionary,Auto Ancillaries,2.82,Large Cap
BPCL,Energy,Oil & Gas Refining,2.57,Large Cap
BRITANNIA,Consumer Staples,Food Products,0.66,Large Cap
CANBK,Financials,Public Sector Banks,2.96,Large Cap
CHOLAFIN,Financials,Consumer Finance,3.94,Large Cap
CIPLA,Healthcare,Pharmaceuticals,0.95,Large Cap
COALINDIA,Materials,Mining & Metals,2.46,Large Cap
DABUR,Consumer Staples,Personal Products,2.4,Large Cap
DIVISLAB,Healthcare,Pharmaceuticals,3.75,Large Cap
DLF,Real Estate,Real Estate,2.86,Large Cap
DMART,Consumer Discretionary,Retail,3.07,Large Cap
DRREDDY,Healthcare,Pharmaceuticals,1.01,Mid Cap
EICHERMOT,Consumer Discretionary,Two Wheelers,3.13,Large Cap
GAIL,Energy,Gas Distribution,3.12,Large Cap
GODREJCP,Consumer Staples,Personal Products,0.89,Large Cap
GRASIM,Industrials,Diversified Industrials,2.61,Mid Cap
HAL,Industrials,Defence & Aerospace,1.6,Large Cap
HAVELLS,Industrials,Consumer Electricals,1.44,Large Cap
HCLTECH,Information Technology,IT Services,2.5,Large Cap
HDFCBANK,Financials,Private Banks,1.06,Large Cap
HDFCLIFE,Financials,Life Insurance,0.93,Large Cap
HEROMOTOCO,Consumer Discretionary,Two Wheelers,0.26,Large Cap
HINDALCO,Materials,Metals & Mining,0.64,Large Cap
HINDUNILVR,Consumer Staples,FMCG,1.11,Mid Cap
ICICIBANK,Financials,Private Banks,3.87,Large Cap
ICICIGI,Financials,General Insurance,3.51,Large Cap
ICICIPRULI,Financials,Life Insurance,2.47,Large Cap
INDIGO,Consumer Discretionary,Airlines,3.03,Large Cap
INDUSINDBK,Financials,Private Banks,2.54,Large Cap
INFY,Information Technology,IT Services,3.37,Large Cap
IOC,Energy,Oil & Gas Refining,0.27,Mid Cap
IRCTC,Consumer Discretionary,Travel & Tourism,3.97,Mid Cap
IRFC,Financials,Speciality Finance,4.33,Large Cap
ITC,Consumer Staples,Diversified FMCG,1.39,Large Cap
JINDALSTEL,Materials,Steel,1.41,Large Cap
JIOFIN,Financials,Diversified Financials,0.38,Mid Cap
JSWENERGY,Energy,Power & Utilities,1.14,Mid Cap
JSWSTEEL,Materials,Steel,4.49,Large Cap
KOTAKBANK,Financials,Private Banks,3.47,Large Cap
LICI,Financials,Life Insurance,2.18,Large Cap
LODHA,Real Estate,Real Estate,1.59,Large Cap
LT,Industrials,Engineering & Construction,3.03,Large Cap
LTIM,Information Technology,IT Services,2.64,Large Cap
M&M,Consumer Discretionary,Automobiles,3.95,Large Cap
MARUTI,Consumer Discretionary,Automobiles,1.36,Mid Cap
MOTHERSON,Consumer Discretionary,Auto Ancillaries,3.39,Large Cap
NAUKRI,Communication Services,Internet & Platforms,4.44,Large Cap
NESTLEIND,Consumer Staples,Food Products,0.94,Large Cap
NHPC,Energy,Power & Utilities,0.33,Large Cap
NTPC,Energy,Power & Utilities,4.04,Large Cap
ONGC,Energy,Oil & Gas Exploration,4.49,Large Cap
PFC,Financials,Speciality Finance,2.15,Large Cap
PIDILITIND,Materials,Specialty Chemicals,2.15,Large Cap
PNB,Financials,Public Sector Banks,3.82,Large Cap
POWERGRID,Energy,Power Transmission,4.12,Large Cap
RECLTD,Financials,Speciality Finance,1.78,Large Cap
RELIANCE,Energy,Conglomerates,4.24,Large Cap
SBILIFE,Financials,Life Insurance,3.16,Large Cap
SBIN,Financials,Public Sector Banks,3.6,Large Cap
SHREECEM,Materials,Cement,2.86,Large Cap
SHRIRAMFIN,Financials,Consumer Finance,1.15,Large Cap
SIEMENS,Industrials,Capital Goods,0.99,Large Cap
SUNPHARMA,Healthcare,Pharmaceuticals,0.3,Large Cap
TATACONSUM,Consumer Staples,Food & Beverages,0.33,Large Cap
TATAMOTORS,Consumer Discretionary,Automobiles,0.91,Large Cap
TATAPOWER,Energy,Power & Utilities,4.19,Mid Cap
TATASTEEL,Materials,Steel,1.01,Mid Cap
TCS,Information Technology,IT Services,1.1,Large Cap
TECHM,Information Technology,IT Services,2.39,Large Cap
TITAN,Consumer Discretionary,Gems & Jewellery,2.38,Large Cap
TORNTPHARM,Healthcare,Pharmaceuticals,0.24,Large Cap
TRENT,Consumer Discretionary,Retail,0.73,Large Cap
TVSMOTOR,Consumer Discretionary,Two Wheelers,2.16,Large Cap
