Company,Current Price,Highest Price,Lowest Price,1Y Return %,3Y Return %,5Y Return %
ABB,4913.07,4913.07,1953.81,27.630772268174063,57.16492965586073,0.0
ADANIENSOL,3701.81,5604.9,3701.81,-32.59079859056187,-18.5728174987242,0.0
ADANIENT,8686.54,9407.43,3729.19,30.69777379225674,43.35052354508926,0.0
ADANIGREEN,7223.66,7567.82,3006.58,18.27930227645977,52.58363028412224,0.0
ADANIPORTS,1343.11,1787.07,859.57,-11.957234254549274,-4.414506739541981,0.0
ADANIPOWER,2486.47,2750.84,834.43,54.93665995775253,83.66462058929982,0.0
AMBUJACEM,831.3,872.12,200.75,73.20915114389298,214.04178157228665,0.0
APOLLOHOSP,2891.18,5057.95,2891.18,-22.65353294310266,-40.33144838403434,0.0
ASIANPAINT,3399.83,4695.71,1927.28,-20.456555409458662,35.77378955607738,0.0
ATGL,2968.97,3563.34,2091.15,-14.751890752683233,22.413579839693888,0.0
AXISBANK,385.82,385.82,137.32,30.1774748633511,34.61967899511513,0.0
BAJAJ-AUTO,8093.27,11304.29,4427.89,-22.10894567152687,40.81252011726736,0.0
BAJAJFINSV,5501.46,6713.55,3690.4,6.615788902497638,22.972553104456473,0.0
BAJAJHLDNG,2459.55,2459.55,913.93,44.0489856158928,83.47183266694518,0.0
BAJFINANCE,1802.56,2261.32,882.46,-0.7461001811564253,22.582268495535498,0.0
BANKBARODA,1701.46,2170.89,744.3,6.740861098738405,124.23331883656876,0.0
BEL,1998.73,2516.41,1654.8,-1.1254130636959059,8.042963555574774,0.0
BHARTIARTL,5342.39,5456.41,2478.93,-1.3099218591247457,38.47635291007212,0.0
BHEL,3121.86,3790.41,2171.74,8.768409060027388,-17.637933627232933,0.0
BOSCHLTD,3468.11,3468.11,1289.18,58.27084997147747,68.55941676792224,0.0
BPCL,4933.55,7045.8,3241.67,-27.49268467610494,-3.8912590341495723,0.0
BRITANNIA,353.52,827.42,295.75,0.7265578254551541,-30.587080306302774,0.0
CANBK,1760.81,2865.97,1395.91,-17.871901790128643,-30.64919515240312,0.0
CHOLAFIN,1959.29,2802.35,1349.97,25.4861146692627,2.5924452031124,0.0
CIPLA,3227.52,3714.11,2004.57,2.868179746488473,-4.338599247162041,0.0
COALINDIA,2301.35,4840.9,2233.53,-11.765833534619267,-48.866956546855945,0.0
DABUR,2287.61,2287.61,1027.63,14.013945166290378,47.05833194049809,0.0
DIVISLAB,5735.4,5735.4,2779.67,27.26695794381116,62.57355692370488,0.0
DLF,4111.15,4282.7,2095.68,47.04367513511,79.25692409655363,0.0
DMART,379.24,379.24,215.23,21.781574130567414,20.661788100540885,0.0
DRREDDY,7889.67,7889.67,2646.15,82.29366913123845,142.6351463560151,0.0
EICHERMOT,1637.67,1755.69,832.09,10.7237028923776,60.346802698442225,0.0
GAIL,383.65,383.65,253.99,16.749338121177068,50.45688066198672,0.0
GODREJCP,7556.17,7556.17,4179.44,26.031530524763742,23.527382703939843,0.0
GRASIM,10518.26,10981.17,5017.3,9.534629915815167,56.912606701813736,0.0
HAL,7687.57,8293.64,3605.12,50.330479606083955,43.97735338790844,0.0
HAVELLS,2128.37,2955.32,1397.97,-15.191880874870009,-3.7724759359981217,0.0
HCLTECH,964.49,1052.89,545.06,0.3997293499193288,4.883751277757233,0.0
HDFCBANK,4290.87,5562.71,3173.58,2.672042496171518,6.070239363608721,0.0
HDFCLIFE,3426.9,4530.92,2293.99,15.26275427833388,8.63734926009054,0.0
HEROMOTOCO,1201.67,1277.54,631.62,8.598049759157012,69.88336749840957,0.0
HINDALCO,2910.72,3225.88,2097.8,15.802539864413244,25.659766442895066,0.0
HINDUNILVR,305.49,478.58,217.31,-9.535372679084364,-17.022490221642766,0.0
ICICIBANK,7284.19,8001.86,4692.97,-5.998443672159419,27.54979109976431,0.0
