id_pnl,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_bal,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id_x,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,id_y,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,fcf_yield_pct,company_name,broad_sector,sub_sector,market_cap_category,sector_median_pe,valuation_status,valuation_score,investment_rating
67,ABB,2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,142.0,21.0,1987.0,0.0,932.0,2941.0,105.0,1.0,0.0,2835.0,2941.0,67.0,499.0,-257.0,-143.0,99.0,12.231584669747214,16.444686055993476,22.41035856573705,0.0,359.0,1.2509350561033663,242.0,257.0,212.0,20.08,31.0,0.0,499.0,,0,0,0,1.0,844312.98,814410.48,19.29,14.26,22.84,0.84,0.028662356937826542,Abbott India Ltd,Industrials,Capital Goods,Large Cap,48.83,Discount,0,Avoid
68,ABB,2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,143.0,21.0,2410.0,175.0,940.0,3547.0,270.0,2.0,0.0,3275.0,3547.0,68.0,626.0,-401.0,-217.0,8.0,14.488150500855118,18.49499144881505,24.39325380501851,0.071986836692719,96.77777777777776,1.153932901043135,225.0,401.0,279.0,24.31,90.0,175.0,626.0,,0,0,0,2.0,923674.33,1120679.72,67.54,13.03,24.93,3.9,0.02435923492644859,Abbott India Ltd,Industrials,Capital Goods,Large Cap,48.83,Fair,0,Avoid
69,ABB,2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,144.0,21.0,2581.0,153.0,1086.0,3840.0,251.0,1.0,0.0,3589.0,3840.0,69.0,727.0,-72.0,-582.0,73.0,16.03248259860789,21.392111368909514,26.5564950038432,0.0588009223674096,55.72222222222222,1.1223958333333333,655.0,72.0,325.0,26.02,85.0,153.0,727.0,,0,0,0,3.0,1020674.09,1166450.81,62.63,6.67,7.58,1.58,0.06417327591807488,Abbott India Ltd,Industrials,Capital Goods,Large Cap,48.83,Fair,20,Avoid
70,ABB,2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,145.0,21.0,2799.0,152.0,1253.0,4224.0,271.0,1.0,0.0,3952.0,4224.0,70.0,948.0,-396.0,-637.0,-86.0,16.26297577854671,22.023203745165887,28.33333333333333,0.0539007092198581,61.31578947368421,1.1631155303030305,552.0,396.0,376.0,28.2,73.0,152.0,948.0,,0,0,0,4.0,1185994.82,1158637.42,18.68,4.75,6.12,3.35,0.0465432049694787,Abbott India Ltd,Industrials,Capital Goods,Large Cap,48.83,Discount,20,Avoid
71,ABB,2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,146.0,21.0,3167.0,113.0,1254.0,4556.0,237.0,4.0,0.0,4315.0,4556.0,71.0,893.0,-148.0,-639.0,107.0,17.74163395027108,22.54627033090297,29.767879548306148,0.0354454203262233,85.0,1.1740561896400352,745.0,148.0,447.0,31.88,73.0,113.0,893.0,,0,0,0,5.0,1161513.28,1103083.77,58.34,12.72,5.7,1.05,0.06414046337894648,Abbott India Ltd,Industrials,Capital Goods,Large Cap,48.83,Fair,20,Avoid
72,ABB,2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,147.0,21.0,3678.0,83.0,1411.0,5193.0,225.0,10.0,0.0,4958.0,5193.0,72.0,1213.0,-416.0,-745.0,52.0,20.53342451701145,24.84185330825782,32.46823465801568,0.0224384968910516,141.75,1.1263238975544,797.0,416.0,565.0,36.99,73.0,83.0,1213.0,14.81,0,0,0,6.0,1536236.24,1619349.16,75.58,4.48,12.63,0.96,0.051880041574855706,Abbott India Ltd,Industrials,Capital Goods,Large Cap,48.83,Caution,20,Avoid
91,ADANIENSOL,2019,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,154.0,1100.0,6943.0,20137.0,4379.0,32558.0,24412.0,694.0,336.0,7117.0,32558.0,89.0,2591.0,-3050.0,38.0,-421.0,7.652292950034223,38.02874743326489,6.950142981474575,2.50366778565212,2.2386772106398274,0.2243688187235088,-459.0,3050.0,5.0,80.43,0.0,20137.0,2591.0,,0,0,0,7.0,171905.69,222090.81,76.72,12.85,34.64,2.97,-0.26700686870806895,Adani Energy Solutions Ltd,Energy,Power & Utilities,Large Cap,41.495,Caution,0,Avoid
92,ADANIENSOL,2020,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,155.0,1100.0,7399.0,24246.0,6966.0,39711.0,24924.0,2212.0,313.0,12262.0,39711.0,90.0,5437.0,-5643.0,1250.0,1045.0,6.184302733006307,37.29852838121934,8.30685963054477,2.8528062124955875,2.019213583556747,0.2874770214801944,-206.0,5643.0,7.0,84.99,0.0,24246.0,5437.0,,0,0,0,8.0,217135.25,213517.12,35.93,9.79,35.62,2.97,-0.09487174468447661,Adani Energy Solutions Ltd,Energy,Power & Utilities,Large Cap,41.495,Fair,0,Avoid
93,ADANIENSOL,2021,9926,5976,3950.0,40.0,1115,2117,1329,1620,20.0,1290,11.0,0.0,156.0,1100.0,7819.0,27095.0,7219.0,43234.0,26987.0,5255.0,442.0,10550.0,43234.0,91.0,3784.0,-4009.0,-745.0,-969.0,12.996171670360669,39.79447914567802,14.46350487722839,3.0378966251821957,2.3925366084081245,0.2295878243974649,-225.0,4009.0,11.0,89.19,0.0,27095.0,3784.0,,0,0,0,9.0,275655.59,300348.76,59.65,14.71,10.37,4.17,-0.08162359413788778,Adani Energy Solutions Ltd,Energy,Power & Utilities,Large Cap,41.495,Fair,20,Avoid
94,ADANIENSOL,2022,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,157.0,1100.0,8813.0,29902.0,7650.0,47464.0,30272.0,5060.0,561.0,11572.0,47464.0,92.0,4097.0,-3936.0,-235.0,-75.0,10.978859477704743,37.3600994848108,12.46847573892868,3.016443054574801,2.3221987315010573,0.2371902915894151,161.0,3936.0,11.0,99.13,0.0,29902.0,4097.0,,0,0,0,10.0,306303.52,354481.15,71.21,6.44,19.65,2.37,0.052562242836778364,Adani Energy Solutions Ltd,Energy,Power & Utilities,Large Cap,41.495,Caution,0,Avoid
