id_pnl,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_bal,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id_x,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,id_y,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,fcf_yield_pct,company_name,broad_sector,sub_sector,market_cap_category,sector_median_pe,valuation_status,valuation_score,investment_rating
67,ABB,2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,142.0,21.0,1987.0,0.0,932.0,2941.0,105.0,1.0,0.0,2835.0,2941.0,67.0,499.0,-257.0,-143.0,99.0,12.231584669747214,16.444686055993476,22.41035856573705,0.0,359.0,1.2509350561033663,242.0,257.0,212.0,20.08,31.0,0.0,499.0,,0,0,0,1.0,844312.98,814410.48,19.29,14.26,22.84,0.84,0.028662356937826542,Abbott India Ltd,Industrials,Capital Goods,Large Cap,48.83,Discount,40,Hold
70,ABB,2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,145.0,21.0,2799.0,152.0,1253.0,4224.0,271.0,1.0,0.0,3952.0,4224.0,70.0,948.0,-396.0,-637.0,-86.0,16.26297577854671,22.023203745165887,28.33333333333333,0.0539007092198581,61.31578947368421,1.1631155303030305,552.0,396.0,376.0,28.2,73.0,152.0,948.0,,0,0,0,4.0,1185994.82,1158637.42,18.68,4.75,6.12,3.35,0.0465432049694787,Abbott India Ltd,Industrials,Capital Goods,Large Cap,48.83,Discount,60,Buy
72,ABB,2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,147.0,21.0,3678.0,83.0,1411.0,5193.0,225.0,10.0,0.0,4958.0,5193.0,72.0,1213.0,-416.0,-745.0,52.0,20.53342451701145,24.84185330825782,32.46823465801568,0.0224384968910516,141.75,1.1263238975544,797.0,416.0,565.0,36.99,73.0,83.0,1213.0,14.81,0,0,0,6.0,1536236.24,1619349.16,75.58,4.48,12.63,0.96,0.051880041574855706,Abbott India Ltd,Industrials,Capital Goods,Large Cap,48.83,Caution,20,Avoid
91,ADANIENSOL,2019,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,154.0,1100.0,6943.0,20137.0,4379.0,32558.0,24412.0,694.0,336.0,7117.0,32558.0,89.0,2591.0,-3050.0,38.0,-421.0,7.652292950034223,38.02874743326489,6.950142981474575,2.50366778565212,2.2386772106398274,0.2243688187235088,-459.0,3050.0,5.0,80.43,0.0,20137.0,2591.0,,0,0,0,7.0,171905.69,222090.81,76.72,12.85,34.64,2.97,-0.26700686870806895,Adani Energy Solutions Ltd,Energy,Power & Utilities,Large Cap,41.495,Caution,0,Avoid
94,ADANIENSOL,2022,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,157.0,1100.0,8813.0,29902.0,7650.0,47464.0,30272.0,5060.0,561.0,11572.0,47464.0,92.0,4097.0,-3936.0,-235.0,-75.0,10.978859477704743,37.3600994848108,12.46847573892868,3.016443054574801,2.3221987315010573,0.2371902915894151,161.0,3936.0,11.0,99.13,0.0,29902.0,4097.0,,0,0,0,10.0,306303.52,354481.15,71.21,6.44,19.65,2.37,0.052562242836778364,Adani Energy Solutions Ltd,Energy,Power & Utilities,Large Cap,41.495,Caution,0,Avoid
95,ADANIENSOL,2023,13293,8775,4518.0,34.0,1583,2781,1608,1712,25.0,1281,11.0,0.0,158.0,1115.0,10634.0,34270.0,7913.0,53932.0,32645.0,6200.0,1370.0,13716.0,53932.0,93.0,3777.0,-4699.0,923.0,2.0,9.636650868878355,33.98781313473256,10.90305557919823,2.916843986722274,2.193815174397699,0.2464770451679893,-922.0,4699.0,11.0,117.49,0.0,34270.0,3777.0,,0,0,0,11.0,263283.51,289260.77,28.96,13.96,8.07,2.07,-0.350192839650307,Adani Energy Solutions Ltd,Energy,Power & Utilities,Large Cap,41.495,Discount,60,Buy
114,ADANIGREEN,2020,2549,1098,1450.0,57.0,-111,995,394,-50,23.0,-68,0.0,0.0,195.0,1564.0,793.0,14866.0,1201.0,18424.0,12554.0,1208.0,476.0,4186.0,18424.0,110.0,1965.0,-3743.0,2161.0,383.0,-2.6677128285602194,56.88505296194586,-2.88502333474756,6.307170131523122,1.3457286432160804,0.1383521493703864,-1778.0,3743.0,0.0,23.57,0.0,14866.0,1965.0,,0,0,0,20.0,517543.72,664150.23,72.14,14.91,19.59,0.21,-0.3435458554110173,Adani Green Energy Ltd,Energy,Renewable Energy,Large Cap,41.495,Caution,0,Avoid
115,ADANIGREEN,2021,3124,883,2241.0,72.0,391,1953,486,193,6.0,182,1.0,0.0,196.0,1564.0,636.0,24209.0,2283.0,28692.0,16429.0,4452.0,502.0,7309.0,28692.0,111.0,1601.0,-9137.0,7083.0,-453.0,5.825864276568503,71.73495518565942,8.272727272727273,11.004090909090907,1.3476702508960574,0.1088805241879269,-7536.0,9137.0,1.0,22.0,0.0,24209.0,1601.0,,0,0,0,21.0,519085.0,607489.51,17.73,4.85,6.97,2.14,-1.4517853530731961,Adani Green Energy Ltd,Energy,Renewable Energy,Large Cap,41.495,Discount,60,Buy
117,ADANIGREEN,2023,7776,2806,4970.0,64.0,667,2911,1300,1426,32.0,973,6.0,0.0,198.0,1584.0,5720.0,54223.0,5382.0,66909.0,48336.0,5291.0,1149.0,12133.0,66909.0,113.0,7265.0,-3857.0,-2973.0,435.0,12.512860082304528,63.91460905349794,13.321467688937568,7.423740416210296,1.936447956028856,0.1162175492086266,3408.0,3857.0,6.0,73.04,0.0,54223.0,7265.0,,0,0,0,23.0,449015.01,546204.41,9.89,6.92,25.56,4.31,0.7589946714698914,Adani Green Energy Ltd,Energy,Renewable Energy,Large Cap,41.495,Discount,40,Hold
128,ADANIPORTS,2021,12550,3862,8688.0,69.0,1967,2255,2107,6292,20.0,5049,25.0,20.0,209.0,406.0,30035.0,35855.0,8285.0,74582.0,48291.0,3697.0,2236.0,20358.0,74582.0,123.0,7556.0,-14064.0,3514.0,-2994.0,40.23107569721115,69.22709163346613,16.586183108307875,1.1778522387569397,4.725055432372505,0.168271164624172,-6508.0,14064.0,25.0,304.41,20.0,35855.0,7556.0,,0,0,0,27.0,611152.14,782103.44,77.47,0.9,30.06,1.0,-1.064873960843858,"Adani Ports & Special Economic Zone Ltd
",Industrials,Infrastructure,Large Cap,48.83,Caution,20,Avoid
129,ADANIPORTS,2022,17119,7591,9528.0,56.0,1832,2544,3099,5717,13.0,4953,23.0,22.0,210.0,422.0,41399.0,47935.0,8572.0,98328.0,62553.0,4023.0,3161.0,28591.0,98328.0,124.0,10420.0,-5493.0,-586.0,4341.0,28.93276476429698,55.65745662713943,11.843332297171278,1.1461944955883407,4.465408805031447,0.1741009681881051,4927.0,5493.0,23.0,418.21,22.0,47935.0,10420.0,,0,0,0,28.0,733808.16,915420.63,15.26,3.96,5.84,0.2,0.6714288922597972,"Adani Ports & Special Economic Zone Ltd
",Industrials,Infrastructure,Large Cap,48.83,Discount,60,Buy
130,ADANIPORTS,2023,20852,9905,10947.0,52.0,327,2363,3425,5487,2.0,5391,25.0,20.0,211.0,432.0,44957.0,53434.0,13740.0,112563.0,72224.0,6637.0,7432.0,26271.0,112563.0,125.0,11900.0,-16716.0,-2734.0,-7550.0,25.85363514291195,52.498561289084975,11.8773271056864,1.1772455881380952,4.771053745239103,0.1852473725824649,-4816.0,16716.0,25.0,453.89,20.0,53434.0,11900.0,,0,0,0,29.0,634603.85,774389.91,29.48,7.65,32.57,2.23,-0.7588986420425908,"Adani Ports & Special Economic Zone Ltd
",Industrials,Infrastructure,Large Cap,48.83,Discount,40,Hold
152,ADANIPOWER,2019,23884,18901,4983.0,21.0,2448,5657,2751,-976,1.0,-984,-3.0,0.0,220.0,3857.0,3855.0,46980.0,13293.0,67985.0,50419.0,350.0,3.0,17213.0,67985.0,133.0,5610.0,-984.0,-4663.0,-37.0,-4.119912912409982,20.86333947412494,-12.75933609958506,6.091804979253112,1.313593777620647,0.3513127895859381,4626.0,984.0,-3.0,77.12,0.0,46980.0,5610.0,,0,0,0,31.0,1188256.85,1362538.77,27.22,4.37,35.21,0.06,0.38930976917995463,Adani Power Ltd,Energy,Power & Utilities,Large Cap,41.495,Discount,40,Hold
153,ADANIPOWER,2020,26468,20734,5734.0,22.0,323,5315,3006,-2265,0.0,-2275,-6.0,0.0,221.0,3857.0,2624.0,55199.0,13346.0,75025.0,55846.0,2347.0,3.0,16830.0,75025.0,134.0,5598.0,-2304.0,-2377.0,917.0,-8.595284872298626,21.66389602538915,-35.10260762228052,8.517049837987965,1.139604891815616,0.3527890703098967,3294.0,2304.0,-6.0,64.81,0.0,55199.0,5598.0,,0,0,0,32.0,1117866.08,1278915.22,66.83,5.7,27.87,2.51,0.2946685706752995,Adani Power Ltd,Energy,Power & Utilities,Large Cap,41.495,Caution,0,Avoid
154,ADANIPOWER,2021,26221,17533,8688.0,33.0,1909,5106,3202,2289,45.0,1270,3.0,0.0,222.0,3857.0,9256.0,52519.0,13175.0,78806.0,52851.0,6439.0,20.0,19495.0,78806.0,135.0,7014.0,-2188.0,-5655.0,-828.0,4.84344609282636,33.13374775942947,9.685045374818882,4.005109433386716,2.0754014884449665,0.3327284724513362,4826.0,2188.0,3.0,131.13,0.0,52519.0,7014.0,,0,0,0,33.0,986259.76,1132916.67,66.6,14.89,6.04,2.97,0.48932342124553474,Adani Power Ltd,Energy,Power & Utilities,Large Cap,41.495,Caution,20,Avoid
167,AMBUJACEM,2020,24516,19511,5006.0,20.0,288,140,1162,3992,22.0,3107,12.0,151.0,235.0,397.0,22360.0,471.0,16490.0,39718.0,20486.0,2422.0,167.0,16643.0,39718.0,147.0,4832.0,-1317.0,-3956.0,-441.0,12.67335617555882,20.41931799641051,13.65294195192688,0.0206969284176297,37.81428571428572,0.6172516239488394,3515.0,1317.0,12.0,227.57,151.0,471.0,4832.0,,0,0,0,38.0,1025434.68,969394.29,79.32,9.29,17.71,1.12,0.3427814631742316,Ambuja Cements Ltd,Materials,Cement,Large Cap,40.61,Caution,0,Avoid
169,AMBUJACEM,2023,38937,33815,5122.0,13.0,447,195,1645,3729,19.0,3024,13.0,19.0,,,,,,,,,,,,,,,,,7.766391863779952,13.154583044405063,,,28.55897435897436,,,,13.0,,19.0,,,,0,0,0,41.0,1410892.33,1458659.98,73.29,1.59,6.74,0.57,,Ambuja Cements Ltd,Materials,Cement,Large Cap,40.61,Caution,40,Hold
180,APOLLOHOSP,2021,10560,9420,1140.0,11.0,103,449,573,221,38.0,137,10.0,29.0,248.0,72.0,4531.0,4160.0,2629.0,11392.0,6778.0,234.0,1343.0,3037.0,11392.0,159.0,1265.0,-880.0,-340.0,44.0,1.2973484848484849,10.795454545454543,2.976319791440365,0.9037584184227676,2.7683741648106905,0.9269662921348316,385.0,880.0,10.0,46.03,29.0,4160.0,1265.0,,0,0,0,45.0,1154138.06,1069918.55,11.18,6.7,8.4,3.35,0.033358227524357006,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,Healthcare,Large Cap,37.955,Discount,60,Buy
182,APOLLOHOSP,2023,16612,14548,2065.0,12.0,75,381,615,1144,22.0,844,57.0,26.0,250.0,72.0,6126.0,4332.0,3886.0,14416.0,8520.0,610.0,574.0,4712.0,14416.0,161.0,1377.0,-857.0,-633.0,-113.0,5.080664579821816,12.430772935227546,13.61729590190384,0.6989351403678606,5.616797900262467,1.152330743618202,520.0,857.0,57.0,61.98,26.0,4332.0,1377.0,,0,0,0,47.0,1446203.76,1674544.0,17.38,12.98,28.27,3.2,0.035956205783893136,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,Healthcare,Large Cap,37.955,Discount,40,Hold
192,ASIANPAINT,2020,20211,16054,4157.0,21.0,355,102,780,3629,24.0,2774,28.0,43.0,260.0,96.0,10034.0,1118.0,4889.0,16138.0,6272.0,140.0,2019.0,7707.0,16138.0,170.0,3038.0,-518.0,-2871.0,-351.0,13.72519914897828,20.568007520657066,27.38400789733465,0.1103652517275419,44.23529411764706,1.2523856735654977,2520.0,518.0,28.0,101.3,43.0,1118.0,3038.0,,0,0,0,50.0,1148763.92,1230363.26,13.27,6.46,22.97,0.29,0.21936622104217895,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,Large Cap,40.61,Discount,40,Hold
193,ASIANPAINT,2021,21713,16857,4856.0,22.0,332,92,791,4304,26.0,3207,33.0,55.0,261.0,96.0,12710.0,1093.0,6456.0,20355.0,5859.0,183.0,4737.0,9577.0,20355.0,171.0,3683.0,-541.0,-650.0,2492.0,14.769953484087877,22.36448210749321,25.042948617835396,0.0853506168983289,56.391304347826086,1.0667157946450505,3142.0,541.0,33.0,128.06,55.0,1093.0,3683.0,,0,0,0,51.0,1269304.94,1629400.62,78.48,8.21,23.03,1.28,0.24753704968642132,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,Large Cap,40.61,Caution,0,Avoid
196,ASIANPAINT,2024,35495,27910,7585.0,21.0,821,205,853,7348,24.0,5558,57.0,58.0,264.0,96.0,18632.0,2474.0,8698.0,29901.0,7147.0,2698.0,4588.0,15468.0,29901.0,174.0,6104.0,-2548.0,-2982.0,573.0,15.658543456824903,21.3692069305536,29.677488252883386,0.1321016659547202,41.00487804878049,1.187084044011906,3556.0,2548.0,57.0,187.28,58.0,2474.0,6104.0,9.88,0,0,0,54.0,2126725.18,2475080.63,73.37,3.9,23.94,2.42,0.16720543083991699,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,Large Cap,40.61,Caution,0,Avoid
199,ATGL,2019,1719,1264,455.0,26.0,59,90,67,357,36.0,229,2.0,12.0,280.0,110.0,992.0,394.0,552.0,2048.0,980.0,190.0,176.0,701.0,2048.0,,,,,,13.321698662012798,26.46887725421757,20.780399274047188,0.3575317604355716,5.711111111111111,0.83935546875,,,2.0,11.02,12.0,394.0,,,0,0,0,55.0,1148243.4,1228379.56,21.14,0.81,10.15,4.39,,Adani Total Gas Ltd,Energy,Gas Distribution,Large Cap,41.495,Discount,80,Strong Buy
200,ATGL,2020,1875,1280,595.0,32.0,44,41,51,547,20.0,436,4.0,6.0,281.0,110.0,1361.0,428.0,577.0,2476.0,1198.0,342.0,282.0,655.0,2476.0,,,,,,23.25333333333333,31.73333333333333,29.63970088375255,0.2909585316111489,15.585365853658535,0.7572697899838449,,,4.0,14.71,6.0,428.0,,,0,0,0,56.0,1099356.08,1400593.18,22.78,14.0,27.91,0.51,,Adani Total Gas Ltd,Energy,Gas Distribution,Large Cap,41.495,Discount,40,Hold
202,ATGL,2022,3038,2265,773.0,25.0,46,53,83,684,26.0,509,5.0,5.0,283.0,110.0,2306.0,1035.0,964.0,4415.0,1733.0,1171.0,634.0,878.0,4415.0,,,,,,16.754443712969056,25.44437129690586,21.06788079470199,0.4283940397350993,15.452830188679243,0.6881087202718007,,,5.0,24.16,5.0,1035.0,,,0,0,0,58.0,1548060.05,1597088.78,74.55,14.11,6.42,0.07,,Adani Total Gas Ltd,Energy,Gas Distribution,Large Cap,41.495,Caution,20,Avoid
203,ATGL,2023,4378,3508,870.0,20.0,54,78,113,733,25.0,546,5.0,5.0,284.0,110.0,2831.0,1422.0,1282.0,5645.0,2335.0,1619.0,682.0,1010.0,5645.0,,,,,,12.47144814984011,19.87208771128369,18.56511390683441,0.4835090105406324,11.846153846153848,0.7755535872453498,,,5.0,29.41,5.0,1422.0,,,0,0,0,59.0,1644865.15,1868991.35,28.01,4.26,28.74,2.71,,Adani Total Gas Ltd,Energy,Gas Distribution,Large Cap,41.495,Discount,40,Hold
213,BAJAJ-AUTO,2020,29919,24809,5109.0,17.0,1832,3,246,6692,22.0,5212,180.0,67.0,306.0,289.0,21373.0,126.0,4722.0,26510.0,1699.0,60.0,19914.0,4837.0,26510.0,215.0,3850.0,1766.0,-6247.0,-630.0,17.42036832781844,17.076105484808984,24.06056689133044,0.0058166374296002,2313.6666666666665,1.1285929837797055,5616.0,1766.0,180.0,216.62,67.0,126.0,3850.0,,0,0,0,68.0,351288.98,435411.55,79.31,9.65,32.77,0.07,1.5986837958879327,Bajaj Auto Ltd,Consumer Discretionary,Two Wheelers,Large Cap,42.5,Caution,0,Avoid
216,BAJAJ-AUTO,2023,36455,29991,6465.0,18.0,1703,40,286,7842,23.0,6060,214.0,65.0,309.0,283.0,29079.0,124.0,5651.0,35136.0,2842.0,85.0,26183.0,6026.0,35136.0,218.0,5277.0,1211.0,-7181.0,-692.0,16.62323412426279,17.734192840488273,20.638921054424088,0.0042231455622913,204.2,1.037539845173042,6488.0,1211.0,214.0,293.62,65.0,124.0,5277.0,,0,0,0,71.0,552671.87,600604.78,78.58,8.54,37.84,3.66,1.173933458925637,Bajaj Auto Ltd,Consumer Discretionary,Two Wheelers,Large Cap,42.5,Caution,0,Avoid
